OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-TX,USGS Texas Water Science Center,nwistx.01.02003380,Sample-Routine,Water,Surface Water,2020-09-17,10:45:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042558,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119701977,,,"Temperature, water",,28.5,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001600,Sample-Routine,Water,Surface Water,2020-05-05,11:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042554,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118977925,,,"Temperature, water",,26.2,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101311,Sample-Routine,Water,Surface Water,2020-12-14,13:30:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042558,,,,Falling stage,Storm,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120774773,,,"Temperature, water",,14.4,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101082,Sample-Routine,Water,Surface Water,2020-11-23,12:30:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042554,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120634456,,,"Temperature, water",,18.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02000788,Sample-Routine,Water,Surface Water,2020-01-21,12:35:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042546,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118452103,,,"Temperature, water",,12.5,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02003379,Sample-Routine,Water,Surface Water,2020-09-17,11:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042548,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119701911,,,"Temperature, water",,28.3,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02100944,Sample-Routine,Water,Surface Water,2020-10-07,09:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042558,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120590231,,,"Temperature, water",,24.1,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101077,Sample-Routine,Water,Surface Water,2020-11-23,10:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042558,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120634226,,,"Temperature, water",,20.5,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001599,Quality Control Sample-Field Replicate,Water,Surface Water,2020-05-05,12:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042546,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118977990,,,"Temperature, water",,26.5,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001502,Sample-Routine,Water,Surface Water,2020-03-17,11:45:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042554,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118752129,,,"Temperature, water",,22.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02002514,Sample-Routine,Water,Surface Water,2020-07-14,12:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042554,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119327693,,,"Temperature, water",,31.3,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02003381,Sample-Routine,Water,Surface Water,2020-09-17,09:50:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-294443094401100,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119702045,,,"Temperature, water",,28.1,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001503,Sample-Routine,Water,Surface Water,2020-03-17,11:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042548,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118751996,,,"Temperature, water",,22.4,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101317,Sample-Routine,Water,Surface Water,2020-12-14,15:30:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042546,,,,Falling stage,Storm,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120775104,,,"Temperature, water",,12.1,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02002512,Sample-Routine,Water,Surface Water,2020-07-14,10:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042558,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119327560,,,"Temperature, water",,31.6,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101314,Sample-Routine,Water,Surface Water,2020-12-14,14:00:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042548,,,,Falling stage,Storm,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120774909,,,"Temperature, water",,13.3,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02002642,Sample-Routine,Water,Surface Water,2020-07-15,08:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08077600,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-119349455,,,"Temperature, water",,31.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02002510,Sample-Routine,Water,Surface Water,2020-07-14,09:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-294443094401100,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119327407,,,"Temperature, water",,28.8,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02100362,Quality Control Sample-Field Replicate,Water,Surface Water,2020-12-07,12:15:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067250,,,,Peak stage,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-120189499,,,"Temperature, water",,13.3,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001760,Sample-Routine,Water,Surface Water,2020-06-10,09:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067250,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 Teflon bottle,NWIS-119158909,,,"Temperature, water",,28.3,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
